----------------------------------------------
config:
  data_dir = ./resource/data
  output_dir = ./output
  catch_dir = ./catch
  model_name = R-Bert
  mode = 0
  seed = 1234
  cuda = 0
  ptlm_root_dir = ./resource
  ptlm_name = bert-base-uncased
  epoch = 1000
  max_length = 128
  lr = 1e-05
  other_lr = 2e-05
  batch_size = 16
  weight_deca = 0.0
  dropout = 0.1
  warmup = 0.1
  adam_epsilon = 1e-08
  device = cuda
  model_dir = ./output/R-Bert
  ptlm_dir = ./resource/bert-base-uncased
----------------------------------------------
start to load data
finish loading train!
finish loading test!
finish loading dev!
loading finished!
----------------------------------------------
training model parameters (except PLM layers):
cls_mlp.weight: torch.Size([768, 768])
cls_mlp.bias: torch.Size([768])
entity_mlp.weight: torch.Size([768, 768])
entity_mlp.bias: torch.Size([768])
dense.weight: torch.Size([19, 2304])
dense.bias: torch.Size([19])
----------------------------------------------
start to train the model......
epoch:1｜ train_loss:1.409 | dev_loss:0.652 | f1 on dev:0.8324
epoch:318｜ train_loss:0.000 | dev_loss:1.798 | f1 on dev:0.8654
epoch:319｜ train_loss:0.000 | dev_loss:1.799 | f1 on dev:0.8650
epoch:320｜ train_loss:0.000 | dev_loss:1.813 | f1 on dev:0.8643
epoch:321｜ train_loss:0.000 | dev_loss:1.811 | f1 on dev:0.8646
epoch:322｜ train_loss:0.000 | dev_loss:1.810 | f1 on dev:0.8646
epoch:323｜ train_loss:0.000 | dev_loss:1.807 | f1 on dev:0.8654
epoch:324｜ train_loss:0.000 | dev_loss:1.804 | f1 on dev:0.8664
epoch:325｜ train_loss:0.000 | dev_loss:1.807 | f1 on dev:0.8652
epoch:326｜ train_loss:0.000 | dev_loss:1.806 | f1 on dev:0.8652
epoch:327｜ train_loss:0.000 | dev_loss:1.819 | f1 on dev:0.8672
epoch:328｜ train_loss:0.000 | dev_loss:1.818 | f1 on dev:0.8660
epoch:329｜ train_loss:0.008 | dev_loss:1.877 | f1 on dev:0.8604
epoch:330｜ train_loss:0.004 | dev_loss:2.125 | f1 on dev:0.8568
epoch:331｜ train_loss:0.004 | dev_loss:1.905 | f1 on dev:0.8584
epoch:332｜ train_loss:0.002 | dev_loss:1.786 | f1 on dev:0.8558
epoch:333｜ train_loss:0.000 | dev_loss:1.798 | f1 on dev:0.8556
epoch:334｜ train_loss:0.000 | dev_loss:1.792 | f1 on dev:0.8563
epoch:335｜ train_loss:0.000 | dev_loss:1.781 | f1 on dev:0.8568
epoch:336｜ train_loss:0.000 | dev_loss:1.778 | f1 on dev:0.8580
epoch:337｜ train_loss:0.000 | dev_loss:1.766 | f1 on dev:0.8605
epoch:338｜ train_loss:0.000 | dev_loss:1.780 | f1 on dev:0.8602
epoch:339｜ train_loss:0.000 | dev_loss:1.783 | f1 on dev:0.8602
epoch:340｜ train_loss:0.000 | dev_loss:1.787 | f1 on dev:0.8605
epoch:341｜ train_loss:0.000 | dev_loss:1.790 | f1 on dev:0.8608
epoch:342｜ train_loss:0.000 | dev_loss:1.793 | f1 on dev:0.8618
epoch:343｜ train_loss:0.000 | dev_loss:1.794 | f1 on dev:0.8621
epoch:344｜ train_loss:0.000 | dev_loss:1.801 | f1 on dev:0.8619
epoch:345｜ train_loss:0.000 | dev_loss:1.813 | f1 on dev:0.8623
epoch:346｜ train_loss:0.000 | dev_loss:1.799 | f1 on dev:0.8626
epoch:347｜ train_loss:0.000 | dev_loss:1.809 | f1 on dev:0.8622
epoch:348｜ train_loss:0.000 | dev_loss:1.823 | f1 on dev:0.8641
epoch:349｜ train_loss:0.002 | dev_loss:1.779 | f1 on dev:0.8549
epoch:350｜ train_loss:0.003 | dev_loss:1.668 | f1 on dev:0.8576
epoch:351｜ train_loss:0.000 | dev_loss:1.704 | f1 on dev:0.8610
epoch:352｜ train_loss:0.003 | dev_loss:1.756 | f1 on dev:0.8589
epoch:353｜ train_loss:0.005 | dev_loss:1.516 | f1 on dev:0.8566
epoch:354｜ train_loss:0.000 | dev_loss:1.623 | f1 on dev:0.8582
epoch:355｜ train_loss:0.000 | dev_loss:1.643 | f1 on dev:0.8584
epoch:356｜ train_loss:0.000 | dev_loss:1.651 | f1 on dev:0.8591
epoch:357｜ train_loss:0.000 | dev_loss:1.655 | f1 on dev:0.8603
epoch:358｜ train_loss:0.000 | dev_loss:1.662 | f1 on dev:0.8606
epoch:359｜ train_loss:0.000 | dev_loss:1.670 | f1 on dev:0.8605
epoch:360｜ train_loss:0.000 | dev_loss:1.675 | f1 on dev:0.8605
epoch:361｜ train_loss:0.000 | dev_loss:1.684 | f1 on dev:0.8608
epoch:362｜ train_loss:0.000 | dev_loss:1.691 | f1 on dev:0.8614
epoch:363｜ train_loss:0.000 | dev_loss:1.700 | f1 on dev:0.8614
epoch:364｜ train_loss:0.000 | dev_loss:1.713 | f1 on dev:0.8616
epoch:365｜ train_loss:0.000 | dev_loss:1.724 | f1 on dev:0.8629
epoch:366｜ train_loss:0.000 | dev_loss:1.736 | f1 on dev:0.8640
epoch:367｜ train_loss:0.000 | dev_loss:1.751 | f1 on dev:0.8646
epoch:368｜ train_loss:0.000 | dev_loss:1.766 | f1 on dev:0.8640
epoch:369｜ train_loss:0.000 | dev_loss:1.785 | f1 on dev:0.8661
epoch:370｜ train_loss:0.000 | dev_loss:1.792 | f1 on dev:0.8657
epoch:371｜ train_loss:0.000 | dev_loss:1.839 | f1 on dev:0.8613
epoch:372｜ train_loss:0.000 | dev_loss:1.875 | f1 on dev:0.8640
epoch:373｜ train_loss:0.008 | dev_loss:1.922 | f1 on dev:0.8561
